[14:46:00][INFO] chunks=40 drawCount will compute...
[14:46:01][INFO] chunks=40 drawCount will compute...
[14:46:01][INFO] chunks=40 drawCount will compute...
[14:46:01][INFO] chunks=40 drawCount will compute...
[14:46:01][INFO] chunks=40 drawCount will compute...
[14:46:01][INFO] chunks=40 drawCount will compute...
[14:46:01][INFO] chunks=40 drawCount will compute...
[14:46:01][INFO] chunks=40 drawCount will compute...
[14:46:01][INFO] chunks=40 drawCount will compute...
[14:46:01][INFO] chunks=40 drawCount will compute...
[14:46:01][INFO] chunks=40 drawCount will compute...
[14:46:01][INFO] chunks=40 drawCount will compute...
[14:46:01][INFO] chunks=40 drawCount will compute...
[14:46:01][INFO] chunks=40 drawCount will compute...
[14:46:01][INFO] chunks=40 drawCount will compute...
[14:46:01][INFO] chunks=40 drawCount will compute...
[14:46:01][INFO] chunks=40 drawCount will compute...
[14:46:01][INFO] chunks=40 drawCount will compute...
[14:46:01][INFO] chunks=40 drawCount will compute...
[14:46:01][INFO] chunks=40 drawCount will compute...
[14:46:01][INFO] chunks=40 drawCount will compute...
[14:46:01][INFO] chunks=40 drawCount will compute...
[14:46:01][INFO] chunks=40 drawCount will compute...
[14:46:01][INFO] chunks=42 drawCount will compute...
[14:46:01][INFO] chunks=42 drawCount will compute...
[14:46:01][INFO] chunks=42 drawCount will compute...
[14:46:01][INFO] chunks=42 drawCount will compute...
[14:46:01][INFO] chunks=43 drawCount will compute...
[14:46:01][INFO] chunks=43 drawCount will compute...
[14:46:01][INFO] chunks=43 drawCount will compute...
[14:46:01][INFO] chunks=43 drawCount will compute...
[14:46:02][INFO] chunks=44 drawCount will compute...
[14:46:02][INFO] chunks=44 drawCount will compute...
[14:46:02][INFO] chunks=44 drawCount will compute...
[14:46:02][INFO] chunks=45 drawCount will compute...
[14:46:02][INFO] chunks=45 drawCount will compute...
[14:46:02][INFO] chunks=45 drawCount will compute...
[14:46:02][INFO] chunks=45 drawCount will compute...
[14:46:02][INFO] chunks=46 drawCount will compute...
[14:46:02][INFO] chunks=46 drawCount will compute...
[14:46:02][INFO] chunks=46 drawCount will compute...
[14:46:02][INFO] chunks=47 drawCount will compute...
